X,GID,P1,P2,TraitBLUE,Year,CV
22298,SL18-JS-5-FG1xSL18-LD-2-MG4,SL18-JS-5-FG1,SL18-LD-2-MG4,0.076056025,2020,2
22364,SL18-JS-5-FG1xSL18-OI-14-MG1,SL18-JS-5-FG1,SL18-OI-14-MG1,-0.198829895,2020,9
22656,SL18-JS-5-FG2xSL18-OI-5-MG3,SL18-JS-5-FG2,SL18-OI-5-MG3,-0.143305077,2020,6
23569,SL18-JS-9-FG3xSA18-CB-10-MG1,SL18-JS-9-FG3,SA18-CB-10-MG1,-0.058058957,2020,3
25773,SL18-LD-13-FG2xSA18-CB-7-MG1,SL18-LD-13-FG2,SA18-CB-7-MG1,0.205266907,2020,2
25855,SL18-LD-13-FG2xSL18-LD-13-MG2,SL18-LD-13-FG2,SL18-LD-13-MG2,-0.037731869,2020,2
26243,SL18-LD-2-FG2xSL18-SF-19-MG1,SL18-LD-2-FG2,SL18-SF-19-MG1,-0.017584899,2020,9
30058,SL18-LD-9-FG4xSL18-OI-6-MG2,SL18-LD-9-FG4,SL18-OI-6-MG2,0.350706588,2020,9
30432,SL18-LL-9-FG2xSA18-CB-5-MG3,SL18-LL-9-FG2,SA18-CB-5-MG3,-0.142672501,2020,1
30970,SL18-LL-9-FG6xSA18-CB-10-MG3,SL18-LL-9-FG6,SA18-CB-10-MG3,-0.260413901,2020,5
31359,SL18-NC-1-FG1xSL18-NC-12-MG3,SL18-NC-1-FG1,SL18-NC-12-MG3,-0.36646432,2020,7
31915,SL18-NC-10-FG1xSL18-NC-5-MG1,SL18-NC-10-FG1,SL18-NC-5-MG1,-0.412709571,2020,2
31955,SL18-NC-10-FG1xSL18-OI-11-MG4,SL18-NC-10-FG1,SL18-OI-11-MG4,-0.248528176,2020,9
32071,SL18-NC-10-FG3xSA18-CB-3-MG2,SL18-NC-10-FG3,SA18-CB-3-MG2,-0.061273585,2020,3
32203,SL18-NC-10-FG3xSL18-NL-5-MG2,SL18-NC-10-FG3,SL18-NL-5-MG2,-0.000475632,2020,4
32471,SL18-NC-11-FG1xSL18-NL-2-MG1,SL18-NC-11-FG1,SL18-NL-2-MG1,0.176517493,2020,9
33166,SL18-NC-12-FG2xSA18-CB-3-MG1,SL18-NC-12-FG2,SA18-CB-3-MG1,0.258400501,2020,8
33171,SL18-NC-12-FG2xSA18-CB-4-MG3,SL18-NC-12-FG2,SA18-CB-4-MG3,0.002978156,2020,4
